127.0.0.1 - - [04/Mar/2020:15:13:58 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:14:58 -0600] "GET /programaTEC/index.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:17:02 -0600] "GET /programaTEC/index.jsp HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:26:39 -0600] "GET /programaTEC/index.jsp HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:26:39 -0600] "GET /programaTEC/styles.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:26:55 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:26:55 -0600] "GET /programaTEC/styles.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:28:37 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:28:37 -0600] "GET /programaTEC/styles.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:31:01 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:31:01 -0600] "GET /programaTEC/styles.css HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:31:32 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:31:32 -0600] "GET /programaTEC/css/styles.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:33:37 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2163
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:33:37 -0600] "GET /programaTEC/css/styles.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:34:09 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:34:09 -0600] "GET /programaTEC/css/styles.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:36:30 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:36:30 -0600] "GET /programaTEC/%3Cc:out%20value= HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:37:01 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 500 3182
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:38:07 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:38:07 -0600] "GET /programaTEC/css/style.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:38:24 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:38:24 -0600] "GET /programaTEC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:40:26 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:40:26 -0600] "GET /programaTEC/css/style.css HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:40:26 -0600] "GET /programaTEC/css/img/fondo.jpg HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:40:46 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:40:47 -0600] "GET /programaTEC/css/style.css HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:40:47 -0600] "GET /programaTEC/img/fondo.jpg HTTP/1.1" 200 655648
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:40:55 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:40:55 -0600] "GET /programaTEC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:40:55 -0600] "GET /programaTEC/img/fondo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:42:09 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:42:09 -0600] "GET /programaTEC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:42:10 -0600] "GET /programaTEC/img/fondo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:42:44 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:42:44 -0600] "GET /programaTEC/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:42:44 -0600] "GET /programaTEC/img/fondo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:43:21 -0600] "GET /programaTEC/index.jsp? HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [04/Mar/2020:15:43:21 -0600] "GET /programaTEC/css/style.css HTTP/1.1" 304 -
